City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,concepcion,-36.827,-73.0498,12.89,88,100,11.83,CL,1718055426
250,jayapura,-2.5333,140.7,24.66,92,97,2.48,ID,1718055426
251,minas de marcona,-15.2119,-75.1103,15.24,67,60,3.89,PE,1718055426
252,carinhanha,-14.3047,-43.765,25.15,51,84,2.89,BR,1718055427
253,lebu,-37.6167,-73.65,12.62,90,100,11.14,CL,1718055427
254,tynda,55.1667,124.7167,7.67,97,56,0.77,RU,1718055427
255,zhangzhou,24.5133,117.6556,26.96,97,97,0.57,CN,1718055427
256,chonchi,-42.6128,-73.8092,10.62,95,99,3.34,CL,1718055427
257,kodiak,57.79,-152.4072,6.73,100,100,6.17,US,1718055428
258,santa cruz,-17.8,-63.1667,28.7,61,20,7.2,BO,1718055428
259,kimbe,-5.5502,150.1429,26.8,86,81,1.39,PG,1718055428
260,akrehamn,59.2667,5.1833,11.11,87,10,11.83,NO,1718055428
261,borisoglebskiy,57.2586,39.1508,16.06,95,94,2.82,RU,1718055428
262,novodvinsk,64.4165,40.8122,10.99,82,87,2.14,RU,1718055429
263,praia da vitoria,38.7333,-27.0667,20.14,73,40,3.42,PT,1718055429
264,merizo village,13.2658,144.6691,28.31,91,100,4.17,GU,1718055429
265,al bardiyah,31.7561,25.0865,23.95,64,0,2.69,LY,1718055429
266,rundu,-17.9333,19.7667,12.59,48,28,3.1,NA,1718055430
267,rzhev,56.2624,34.3282,16.28,97,93,2.62,RU,1718055430
268,boende,-0.2167,20.8667,22.94,70,81,0.38,CD,1718055430
269,villa gesell,-37.2639,-56.973,10.59,82,98,3.04,AR,1718055430
270,newman,37.3138,-121.0208,34.02,15,0,0.97,US,1718055284
271,bahia de kino,28.8333,-111.9333,30.01,44,5,4.33,MX,1718055215
272,chinde,26.8418,88.0763,20.64,78,41,2.14,NP,1718055431
273,melfort,52.8667,-104.6177,11.07,87,100,4.12,CA,1718055133
274,mili,6.0815,171.735,28.53,81,96,8.09,MH,1718055431
275,afaahiti,-17.75,-149.2833,24.93,87,99,9.01,PF,1718055431
276,mirnyy,62.5353,113.9611,11.24,82,7,0.89,RU,1718055431
277,kittila,67.6647,24.8936,7.08,93,0,1.54,FI,1718055432
278,matane,48.8286,-67.522,11.6,98,100,3.34,CA,1718055277
279,sokoni,-6.4333,39.55,26.76,71,48,8.47,TZ,1718055432
280,kovel,51.2153,24.7087,16.75,93,99,1.84,UA,1718055432
281,balakovo,52.0278,47.8007,21.66,56,6,1.9,RU,1718055432
282,labrador city,52.9463,-66.9114,20.1,55,75,9.39,CA,1718055433
283,bonthe,7.5264,-12.505,26.6,84,100,4.55,SL,1718055433
